movieId,title,year,rating_promedio,total_votos
171011,Planet Earth II (2016),2016,4.45,1956
159817,Planet Earth (2006),2006,4.44,2948
170705,Band of Brothers (2001),2001,4.43,2811
318,"Shawshank Redemption, The (1994)",1994,4.4,102929
171495,Cosmos,,4.33,615
858,"Godfather, The (1972)",1972,4.32,66440
202439,Parasite (2019),2019,4.31,11670
179135,Blue Planet II (2017),2017,4.3,1163
198185,Twin Peaks (1989),1989,4.3,1140
220528,Twelve Angry Men (1954),1954,4.29,449
1203,12 Angry Men (1957),1957,4.27,21863
50,"Usual Suspects, The (1995)",1995,4.27,67750
1221,"Godfather: Part II, The (1974)",1974,4.26,43111
163809,Over the Garden Wall (2013),2013,4.26,1397
182723,Cosmos: A Spacetime Odissey,,4.25,594
2019,Seven Samurai (Shichinin no samurai) (1954),1954,4.25,16531
142115,The Blue Planet (2001),2001,4.25,1061
166024,Whiplash (2013),2013,4.24,3080
527,Schindler's List (1993),1993,4.24,73849
105250,"Century of the Self, The (2002)",2002,4.23,395
122282,Pride and Prejudice (1980),1980,4.23,54
2959,Fight Club (1999),1999,4.23,77332
904,Rear Window (1954),1954,4.23,24883
5618,Spirited Away (Sen to Chihiro no kamikakushi) (2001),2001,4.21,33333
286897,Spider-Man: Across the Spider-Verse (2023),2023,4.21,1133
1193,One Flew Over the Cuckoo's Nest (1975),1975,4.2,44592
176601,Black Mirror,,4.2,1027
750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),1964,4.2,32830
44555,"Lives of Others, The (Das leben der Anderen) (2006)",2006,4.2,12273
296,Pulp Fiction (1994),1994,4.2,98409
922,Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),1950,4.2,9072
912,Casablanca (1942),1942,4.19,32190
26082,Harakiri (Seppuku) (1962),1962,4.19,1270
1213,Goodfellas (1990),1990,4.19,42003
908,North by Northwest (1959),1959,4.19,20093
195159,Spider-Man: Into the Spider-Verse (2018),2018,4.19,10434
1212,"Third Man, The (1949)",1949,4.18,8823
3435,Double Indemnity (1944),1944,4.18,6586
157373,It's Such a Beautiful Day (2011),2011,4.18,330
6016,City of God (Cidade de Deus) (2002),2002,4.18,25688
1178,Paths of Glory (1957),1957,4.18,5490
228099,Firefly (2002),2002,4.18,922
6818,Come and See (Idi i smotri) (1985),1985,4.17,1498
100044,Human Planet (2011),2011,4.17,489
58559,"Dark Knight, The (2008)",2008,4.17,59334
3030,Yojimbo (1961),1961,4.17,5053
26587,"Decalogue, The (Dekalog) (1989)",1989,4.17,654
7926,High and Low (Tengoku to jigoku) (1963),1963,4.16,1260
3000,Princess Mononoke (Mononoke-hime) (1997),1997,4.16,17730
5971,My Neighbor Totoro (Tonari no Totoro) (1988),1988,4.16,13556
170777,There Once Was a Dog (1982),1982,4.16,428
926,All About Eve (1950),1950,4.16,6068
146327,Can't Change the Meeting Place (1979),1979,4.16,174
79132,Inception (2010),2010,4.16,57931
2571,"Matrix, The (1999)",1999,4.16,93808
112552,Whiplash (2014),2014,4.15,19477
1252,Chinatown (1974),1974,4.15,20730
160718,Piper (2016),2016,4.15,1918
1260,M (1931),1931,4.15,5728
1284,"Big Sleep, The (1946)",1946,4.15,6665
2324,Life Is Beautiful (La Vita è bella) (1997),1997,4.15,29819
593,"Silence of the Lambs, The (1991)",1991,4.15,90330
930,Notorious (1946),1946,4.15,5962
913,"Maltese Falcon, The (1941)",1941,4.15,14190
950,"Thin Man, The (1934)",1934,4.14,3837
163134,Your Name. (2016),2016,4.14,3764
1234,"Sting, The (1973)",1973,4.14,18416
4226,Memento (2000),2000,4.14,53658
1217,Ran (1985),1985,4.14,6350
2920,Children of Paradise (Les enfants du paradis) (1945),1945,4.14,1239
1136,Monty Python and the Holy Grail (1975),1975,4.14,46508
1207,To Kill a Mockingbird (1962),1962,4.13,18785
1204,Lawrence of Arabia (1962),1962,4.13,15772
1201,"Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966)",1966,4.13,22922
92475,All Watched Over by Machines of Loving Grace (2011),2011,4.13,235
109487,Interstellar (2014),2014,4.13,37157
171769,Isle of Flowers (1989),1989,4.13,87
898,"Philadelphia Story, The (1940)",1940,4.13,7445
48516,"Departed, The (2006)",2006,4.13,35236
131724,The Jinx: The Life and Deaths of Robert Durst (2015),2015,4.13,1285
2329,American History X (1998),1998,4.13,38967
1196,Star Wars: Episode V - The Empire Strikes Back (1980),1980,4.13,72151
93040,"Civil War, The (1990)",1990,4.13,545
90592,How to Die in Oregon (2011),2011,4.13,73
1172,Cinema Paradiso (Nuovo cinema Paradiso) (1989),1989,4.13,10982
1233,"Boot, Das (Boat, The) (1981)",1981,4.13,15804
170355,Mulholland Dr. (1999),1999,4.13,1481
231701,Kill Bill: The Whole Bloody Affair (2011),2011,4.13,254
169906,The Night Of (2016),2016,4.13,1137
1147,When We Were Kings (1996),1996,4.13,3998
1248,Touch of Evil (1958),1958,4.12,5718
134796,Bitter Lake (2015),2015,4.12,133
2859,Stop Making Sense (1984),1984,4.12,2622
147250,The Adventures of Sherlock Holmes and Doctor Watson,,4.12,180
1208,Apocalypse Now (1979),1979,4.12,32518
1197,"Princess Bride, The (1987)",1987,4.12,46957
173535,The Adventures of Sherlock Holmes and Doctor Watson: The Hunt for the Tiger (1980),1980,4.12,122
92259,Intouchables (2011),2011,4.12,18416
252710,Attack On Titan (2013),2013,4.12,283
48780,"Prestige, The (2006)",2006,4.12,32965
127052,Operation 'Y' & Other Shurik's Adventures (1965),1965,4.12,587
903,Vertigo (1958),1958,4.12,19529
608,Fargo (1996),1996,4.12,58031
3134,Grand Illusion (La grande illusion) (1937),1937,4.12,1963
1280,Raise the Red Lantern (Da hong deng long gao gao gua) (1991),1991,4.12,3664
905,It Happened One Night (1934),1934,4.11,5074
1254,"Treasure of the Sierra Madre, The (1948)",1948,4.11,6377
1209,Once Upon a Time in the West (C'era una volta il West) (1968),1968,4.11,7227
160289,O.J.: Made in America (2016),2016,4.11,658
6669,Ikiru (1952),1952,4.11,2069
31658,Howl's Moving Castle (Hauru no ugoku shiro) (2004),2004,4.11,16009
1198,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),1981,4.11,67408
1148,Wallace & Gromit: The Wrong Trousers (1993),1993,4.11,17652
1945,On the Waterfront (1954),1954,4.11,6982
